SquareFootage,Bedrooms,Bathrooms,Age,Location,Price
1550,3,2,11,Urban,305000
1850,3,2,9,Urban,355000
2250,4,3,6,Suburban,460000
2550,4,3,4,Suburban,510000
1250,2,1,19,Rural,185000
1750,3,2,14,Rural,225000
2150,4,3,8,Urban,430000
2850,5,4,3,Suburban,610000
3250,5,4,2,Urban,710000
1450,2,2,17,Rural,205000
1650,3,2,13,Urban,315000
2450,4,3,7,Suburban,475000
2650,4,3,5,Urban,560000
1350,2,1,24,Rural,172000
3050,5,4,3,Suburban,655000
1950,3,2,10,Urban,365000
2050,4,3,7,Suburban,445000
2750,5,4,4,Urban,615000
1520,2,2,21,Rural,192000
2350,4,3,8,Suburban,485000
2720,4,3,6,Urban,535000
1220,2,1,29,Rural,165000
3150,5,4,3,Urban,685000
2020,3,2,13,Suburban,405000
2520,4,3,9,Urban,525000
1380,2,1,27,Rural,178000
2950,5,4,4,Suburban,645000
2220,4,3,11,Urban,455000
1620,3,2,19,Rural,215000
3450,5,4,2,Urban,725000
